local_name,english_name,language,countries,regions,time_of_day,type_of_dish,type_of_dish_more,drink,occasions,occasions_more
Tli Tli B'djedj - تليتلي بالجاج,NULL,Daridja arabic,Algeria,"East, Center",['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
طعام الحلحال - t3am 7al7al,taam-haalhaal,Daridja arabic,Algeria,Miliana,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,special,Spring
khdawedj ala darbouz,khdawej ala derbuz,Daridja arabic,Algeria,"Center, Algiers","['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
zaligou,zaligu,Daridja arabic,Algeria,"East, Constantine","['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
gateau el mabroucha,gateau el mabroucha,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,"tea, milk and coffee",regular,NULL
chakhchoukhat dhfer,shakhshoukhet dhfer,Daridja arabic,Algeria,"Constantine, East","['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,"Yennayer, Ramadhan, Mouloud, Achoura"
tadjin djelbana,tajin jelbana/ pea stew,Daridja arabic,Algeria,NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
merguez,mergez/algerian sausages,Daridja arabic,Algeria,NULL,"['lunch', 'dinner']","['Main dish - eaten with sides', 'Small plate / bowl for sharing']",NULL,NULL,regular,NULL
hmis,hmis/pepper salad,Daridja arabic,Algeria,NULL,"['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
poulet aux carottes à l'algerienne,algerian chicken with carrots,Daridja arabic,Algeria,NULL,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Khobz el Dar,algeria semonlina bread,Daridja arabic,Algeria,NULL,['snack'],['Side dish'],NULL,NULL,regular,NULL
Dersa,algerian chile paste,Daridja arabic,Algeria,NULL,['anytime'],['Side dish'],NULL,NULL,regular,NULL
Chtitha Batata,shtitha batata /Algerian Potato Stew,Daridja arabic,Algeria,NULL,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
chorba beidha,shorba beyda,Daridja arabic,Algeria,Algiers,"['lunch', 'dinner']",['Soup'],NULL,NULL,regular,NULL
